110100,北京市,北京,110000
120100,天津市,天津,120000
130100,石家庄市,石家庄,130000
130200,唐山市,唐山,130000
130300,秦皇岛市,秦皇岛,130000
130400,邯郸市,邯郸,130000
130500,邢台市,邢台,130000
130600,保定市,保定,130000
130700,张家口市,张家口,130000
130800,承德市,承德,130000
130900,沧州市,沧州,130000
131000,廊坊市,廊坊,130000
131100,衡水市,衡水,130000
140100,太原市,太原,140000
140200,大同市,大同,140000
140300,阳泉市,阳泉,140000
140400,长治市,长治,140000
140500,晋城市,晋城,140000
140600,朔州市,朔州,140000
140700,晋中市,晋中,140000
140800,运城市,运城,140000
140900,忻州市,忻州,140000
141000,临汾市,临汾,140000
141100,吕梁市,吕梁,140000
150100,呼和浩特市,呼和浩特,150000
150200,包头市,包头,150000
150300,乌海市,乌海,150000
150400,赤峰市,赤峰,150000
150500,通辽市,通辽,150000
150600,鄂尔多斯市,鄂尔多斯,150000
150700,呼伦贝尔市,呼伦贝尔,150000
150800,巴彦淖尔市,巴彦淖尔,150000
150900,乌兰察布市,乌兰察布,150000
152200,兴安盟,兴安,150000
152500,锡林郭勒盟,锡林郭勒,150000
152900,阿拉善盟,阿拉善,150000
210100,沈阳市,沈阳,210000
210200,大连市,大连,210000
210300,鞍山市,鞍山,210000
210400,抚顺市,抚顺,210000
210500,本溪市,本溪,210000
210600,丹东市,丹东,210000
210700,锦州市,锦州,210000
210800,营口市,营口,210000
210900,阜新市,阜新,210000
211000,辽阳市,辽阳,210000
211100,盘锦市,盘锦,210000
211200,铁岭市,铁岭,210000
211300,朝阳市,朝阳,210000
211400,葫芦岛市,葫芦岛,210000
220100,长春市,长春,220000
220200,吉林市,吉林,220000
220300,四平市,四平,220000
220400,辽源市,辽源,220000
220500,通化市,通化,220000
220600,白山市,白山,220000
220700,松原市,松原,220000
220800,白城市,白城,220000
222400,延边朝鲜族自治州,延边朝鲜族,220000
230100,哈尔滨市,哈尔滨,230000
230200,齐齐哈尔市,齐齐哈尔,230000
230300,鸡西市,鸡西,230000
230400,鹤岗市,鹤岗,230000
230500,双鸭山市,双鸭山,230000
230600,大庆市,大庆,230000
230700,伊春市,伊春,230000
230800,佳木斯市,佳木斯,230000
230900,七台河市,七台河,230000
231000,牡丹江市,牡丹江,230000
231100,黑河市,黑河,230000
231200,绥化市,绥化,230000
232700,大兴安岭地区,大兴安岭,230000
310100,上海市,上海,310000
320100,南京市,南京,320000
320200,无锡市,无锡,320000
320300,徐州市,徐州,320000
320400,常州市,常州,320000
320500,苏州市,苏州,320000
320600,南通市,南通,320000
320700,连云港市,连云港,320000
320800,淮安市,淮安,320000
320900,盐城市,盐城,320000
321000,扬州市,扬州,320000
321100,镇江市,镇江,320000
321200,泰州市,泰州,320000
321300,宿迁市,宿迁,320000
330100,杭州市,杭州,330000
330200,宁波市,宁波,330000
330300,温州市,温州,330000
330400,嘉兴市,嘉兴,330000
330500,湖州市,湖州,330000
330600,绍兴市,绍兴,330000
330700,金华市,金华,330000
330800,衢州市,衢州,330000
330900,舟山市,舟山,330000
331000,台州市,台州,330000
331100,丽水市,丽水,330000
340100,合肥市,合肥,340000
340200,芜湖市,芜湖,340000
340300,蚌埠市,蚌埠,340000
340400,淮南市,淮南,340000
340500,马鞍山市,马鞍山,340000
340600,淮北市,淮北,340000
340700,铜陵市,铜陵,340000
340800,安庆市,安庆,340000
341000,黄山市,黄山,340000
341100,滁州市,滁州,340000
341200,阜阳市,阜阳,340000
341300,宿州市,宿州,340000
341500,六安市,六安,340000
341600,亳州市,亳州,340000
341700,池州市,池州,340000
341800,宣城市,宣城,340000
350100,福州市,福州,350000
350200,厦门市,厦门,350000
